"PCBStandoffdef"
"Dia","thr_len","id"
"M2.5",6,2.05
"M3",6,2.5
"M4",8,3.3
"M5",10,4.2
"M6",10,5

"PCBStandoffwidth"
"Dia","width","..."
"M2.5","5"
"M3","5","5.5","6"
"M4","7"
"M5","8"
"M6","10"

"PCBStandofflength"
"DiaxWidth","len","..."
"M2.5x5","5","6","7","8","9","10","12","15","17","18","20","25","30"
"M3x5","10","15","20","25"
"M3x5.5","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","22","23","25","27","28","30","35","40","45","50","55","60"
"M3x6","8","10","12","15","20","25","30","35","40"
"M4x7","5","6","8","10","12","15","20","25","30","35","40"
"M5x8","8","10","15","20","25","30","40","50","60","70"
"M6x10","15","20","25","30","35","40","45","50","60"


