"ISO8741range"
"Dia","min_L","max_L"
"1.5 mm","8","20"
"2 mm","8","30"
"2.5 mm","8","30"
"3 mm","8","40"
"4 mm","10","60"
"5 mm","10","60"
"6 mm","12","80"
"8 mm","14","100"
"10 mm","18","160"
"12 mm","26","200"
"16 mm","26","200"
"20 mm","26","200"
"25 mm","26","200"
