"DIN557def"
"Dia","s","m","d","dw","P"
"M4",7.0,3.2,3.3,5.7,0.7
"M5",8.0,4,4.2,6.7,0.8
"M6",10.0,5,5.0,8.7,1.0
"M8",13.0,6.5,6.8,11.5,1.25
"M10",17.0,8,8.5,15.5,1.50
"M12",19.0,10,10.2,17.2,1.75
"M16",24.0,13,14.0,22,2.00

"DIN562def"
"Dia","s","m","dw","P"
"M1.6",3.2,1,1.25,0.35
"M2",4.0,1.2,1.6,0.40
"M2.5",5.0,1.6,2.05,0.45
"M3",5.5,1.8,2.5,0.5
"M4",7.0,2.2,3.3,0.7
"M5",8.0,2.7,4.2,0.8
"M6",10.0,3.2,5.0,1.0
"M8",13.0,4,6.8,1.25
"M10",17.0,5,8.5,1.50

