"GN505def"
"Dia"
"M3"
"M4"
"M5"
"M6"
"M8"

"GN505slotwidths"
"Dia","6mm","8mm","10mm"
"M3",5.9,0,0
"M4",5.9,8,10
"M5",5.9,8,10
"M6",0,8,10
"M8",0,0,10

"GN505e1"
"Dia","6mm","8mm","10mm"
"M3",5.9,0,0
"M4",5.9,8,10
"M5",5.9,8,10
"M6",0,8,10
"M8",0,0,10

"GN505e2"
"Dia","6mm","8mm","10mm"
"M3",10,0,0
"M4",10,16,19
"M5",10,16,19
"M6",0,16,19
"M8",0,0,19

"GN505h"
"Dia","6mm","8mm","10mm"
"M3",4.5,0,0
"M4",4.5,6.6,9.3
"M5",4.5,6.6,9.3
"M6",0,6.6,9.3
"M8",0,0,9.3

"GN505k"
"Dia","6mm","8mm","10mm"
"M3",3.2,0,8
"M4",3.2,5,5.8
"M5",3.2,5,5.8
"M6",0,5,5.8
"M8",0,0,5.8

"GN505P"
"Dia","6mm","8mm","10mm"
"M3",0.5,0,0
"M4",0.7,0.7,0.7
"M5",0.8,0.8,0.8
"M6",0,1.0,1.0
"M8",0,0,1.25

