"DIN471def"
"Dia","S","d_3","a_Max","b","d5_Min","groove_dia"
"3 mm",0.4,2.7,2,0.8,1,2.8
"4 mm",0.4,3.7,2.2,0.9,1,3.8
"5 mm",0.6,4.7,2.5,1.1,1,4.8
"6 mm",0.7,5.6,2.7,1.3,1.2,5.7
"7 mm",0.8,6.5,3.1,1.4,1.2,6.7
"8 mm",0.8,7.4,3.2,1.5,1.2,7.6
"9 mm",1,8.4,3.3,1.7,1.2,8.6
"10 mm",1,9.3,3.3,1.8,1.5,9.6
"11 mm",1,10.2,3.3,1.8,1.5,10.5
"12 mm",1,11,3.3,1.8,1.7,11.5
"13 mm",1,11.9,3.4,2,1.7,12.4
"14 mm",1,12.9,3.5,2.1,1.7,13.4
"15 mm",1,13.8,3.6,2.2,1.7,14.3
"16 mm",1,14.7,3.7,2.2,1.7,15.2
"17 mm",1,15.7,3.8,2.3,1.7,16.2
"18 mm",1.2,16.5,3.9,2.4,2,17
"19 mm",1.2,17.5,3.9,2.5,2,18
"20 mm",1.2,18.5,4,2.6,2,19
"21 mm",1.2,19.5,4.1,2.7,2,20
"22 mm",1.2,20.5,4.2,2.8,2,21
"23 mm",1.2,21.5,4.3,2.9,2,22
"24 mm",1.2,22.2,4.4,3,2,22.9
"25 mm",1.2,23.2,4.4,3,2,23.9
"26 mm",1.2,24.2,4.5,3.1,2,24.9
"27 mm",1.2,24.9,4.6,3.1,2,25.6
"28 mm",1.5,25.9,4.7,3.2,2,26.6
"29 mm",1.5,26.9,4.8,3.4,2,27.6
"30 mm",1.5,27.9,5,3.5,2,28.6
"31 mm",1.5,28.6,5,3.5,2.5,29.3
"32 mm",1.5,29.6,5.2,3.6,2.5,30.3
"33 mm",1.5,30.5,5.2,3.7,2.5,31.3
"34 mm",1.5,31.5,5.4,3.8,2.5,32.3
"35 mm",1.5,32.2,5.6,3.9,2.5,33
"36 mm",1.75,33.2,5.6,4,2.5,34
"37 mm",1.75,34.2,5.7,4.1,2.5,35
"38 mm",1.75,35.2,5.8,4.2,2.5,36
"39 mm",1.75,36,5.9,4.3,2.5,37
"40 mm",1.75,36.5,6,4.4,2.5,37.5
"41 mm",1.75,37.5,6.2,4.5,2.5,38.5
"42 mm",1.75,38.5,6.5,4.5,2.5,39.5
"44 mm",1.75,40.5,6.6,4.6,2.5,41.5
"45 mm",1.75,41.5,6.7,4.7,2.5,42.5
"46 mm",1.75,42.5,6.7,4.8,2.5,43.5
"47 mm",1.75,43.5,6.8,4.9,2.5,44.5
"48 mm",1.75,44.5,6.9,5,2.5,45.5
"50 mm",2,45.8,6.9,5.1,2.5,47
"52 mm",2,47.8,7,5.2,2.5,49.5
"54 mm",2,49.8,7.1,5.3,2.5,51
"55 mm",2,50.8,7.2,5.4,2.5,52
"56 mm",2,51.8,7.3,5.5,2.5,53
"57 mm",2,52.8,7.3,5.5,2.5,54
"58 mm",2,53.8,7.3,5.6,2.5,55
"60 mm",2,55.8,7.4,5.8,2.5,57
"62 mm",2,57.8,7.5,6,2.5,59
"63 mm",2,58.8,7.6,6.2,2.5,60
"65 mm",2.5,60.8,7.8,6.3,3,62
"67 mm",2.5,62.5,7.9,6.4,3,64
"68 mm",2.5,63.5,8,6.5,3,65
"70 mm",2.5,65.5,8.1,6.6,3,67
"72 mm",2.5,67.5,8.2,6.8,3,69
"75 mm",2.5,70.5,8.4,7,3,72
"77 mm",2.5,72.5,8.5,7.2,3,74
