"PCBSpacerdef"
"Dia","th","id"
"M2.5",18,2.05
"M3",20,2.5
"M4",20,3.3
"M5",20,4.2
"M6",20,5

"PCBSpacerwidth"
"Dia","width","..."
"M2.5","5"
"M3","5","5.5"
"M4","7"
"M5","8"
"M6","10"

"PCBSpacerlength"
"DiaxWidth","len","..."
"M2.5x5","5","10","11","12","15","17","18","20","22"
"M3x5","5","10","15","20"
"M3x5.5","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","25","27","30","35","40"
"M4x7","5","8","10","12","15","20","25","30","35","40","45","50","60","70","80"
"M5x8","10","12","15","20","25","30","35","40","50"
"M6x10","10","15","20","25","30","35","40","45","50","60"

