"ISO7720def"
"Dia","P","d_a_max","d_a_min","d_w_min","e_min","h_max","h_min","m_w_min","s_max","s_min"
"M5",0.8,5.75,5,6.88,8.79,5.3,4.8,3.84,8,7.78
"M6",1,6.75,6,8.88,11.05,6.7,5.4,4.32,10,9.78
"M8",1.25,8.75,8,11.63,14.38,8,7.14,5.71,13,12.73
"M10",1.5,10.8,10,14.63,17.77,10.5,8.94,7.15,16,15.73
"M12",1.75,13,12,16.63,20.03,13.3,11.57,9.26,18,17.73
"(M14)",2,15.1,14,19.64,23.36,15.4,13.4,10.7,21,20.67
"M16",2,17.3,16,22.49,26.75,17.9,15.7,12.6,24,23.67
"M20",2.5,21.6,20,27.7,32.95,21.8,19,15.2,30,29.16
"M24",3,25.9,24,33.25,39.55,26.4,22.6,18.1,36,35
"M30",3.5,32.4,30,42.75,50.85,31.8,27.3,21.8,46,45
"M36",4,38.9,36,51.11,60.79,38.5,33.1,26.5,55,53.8
