"DIN6340def"
"Dia","d1_min","d2","h"
"M6",6.4,17.0,3.0
"M8",8.4,23.0,4.0
"M10",10.5,26.0,4.0
"M12",13.0,35.0,5.0
"M16",17.0,45.0,6.0
"M20",21.0,50.0,6.0
"M24",25.0,60.0,8.0
"M30",31.0,68.0,10.0
