"ISO14579range"
"Dia","Min_L","Max_L"
"M2","3","20"
"M2.5","4","25"
"M3","5","30"
"M4","6","40"
"M5","8","50"
"M6","10","60"
"M8","12","80"
"M10","16","100"
"M12","20","120"
"(M14)","25","140"
"M16","25","160"
"(M18)","30","180"
"M20","30","200"
