"ISO8675def"
"Dia","P","c","damax","dw","e","m","mw","s_nom"
"M8x1",1.0,0.3,8.75,11.63,14.38,4.0,2.93,13.0
"M10x1",1.0,0.3,10.8,14.63,17.77,5.0,3.76,16.0
"(M10x1.25)",1.25,0.3,10.8,14.63,17.77,5.0,3.76,16.0
"(M12x1.25)",1.25,0.3,13.0,16.63,20.03,6.0,4.56,18.0
"M12x1.5",1.5,0.3,13.0,16.63,20.03,6.0,4.56,18.0
"(M14x1.5)",1.5,0.3,15.1,19.64,23.36,7.0,5.14,21.0
"M16x1.5",1.5,0.4,17.3,22.49,26.75,8.0,5.94,24.0
"(M18x1.5)",1.5,0.4,19.5,24.85,29.56,9.0,6.74,27.0
"M20x1.5",1.5,0.4,21.6,27.7,32.95,10.0,7.28,30.0
"(M20x2)",2.0,0.4,21.6,27.7,32.95,10.0,7.28,30.0
"(M22x1.5)",1.5,0.4,23.7,31.35,37.29,11.0,7.92,34.0
"M24x2",2.0,0.4,25.9,33.25,39.55,12.0,8.72,36.0
"(M27x2)",2.0,0.4,29.1,38.0,45.2,13.5,9.92,41.0
"M30x2",2.0,0.4,32.4,42.75,50.85,15.0,11.12,46.0
"(M33x2)",2.0,0.4,35.6,46.55,55.37,16.5,12.32,50.0
"M36x3",3.0,0.4,38.9,51.22,60.79,18.0,13.52,55.0
"(M39x3)",3.0,0.5,42.1,55.86,66.44,19.5,14.56,60.0
"M42x3",3.0,0.5,45.4,59.95,71.3,21.0,15.76,65.0
"(M45x3)",3.0,0.5,48.6,64.7,76.95,22.5,16.96,70.0
"M48x3",3.0,0.5,51.8,69.45,82.6,24.0,18.16,75.0
"(M52x4)",4.0,0.5,56.2,74.2,88.25,26.0,19.76,80.0
"M56x4",4.0,0.5,60.5,78.66,93.56,28.0,21.36,85.0
"(M60x4)",4.0,0.5,64.8,82.41,99.21,30.0,22.96,90.0
"M64x4",4.0,0.5,69.1,88.16,104.86,32.0,24.32,95.0
