"GN506def"
"Dia"
"M3"
"M4"
"M5"
"M6"
"M8"

"GN506slotwidths"
"Dia","5 mm","6 mm","8 mm"
"M3",5,6,0
"M4",5,6,8
"M5",5,6,8
"M6",0,6,8
"M8",0,0,8

"GN506d2"
"Dia","5 mm","6 mm","8 mm"
"M3",3,3.5,0
"M4",3,3.5,5
"M5",3,3.5,5
"M6",0,3.5,5
"M8",0,0,5

"GN506e1"
"Dia","5 mm","6 mm","8 mm"
"M3",12,17,0
"M4",12,17,22
"M5",12,17,22
"M6",0,17,22
"M8",0,0,22

"GN506e2"
"Dia","5 mm","6 mm","8 mm"
"M3",7.7,10.5,0
"M4",7.7,10.5,13.4
"M5",7.7,10.5,13.4
"M6",0,10.5,13.4
"M8",0,0,13.4

"GN506h1"
"Dia","5 mm","6 mm","8 mm"
"M3",4.5,6.8,0
"M4",4.5,6.8,7.6
"M5",4.5,6.8,7.6
"M6",0,6.8,7.6
"M8",0,0,7.6

"GN506h2"
"Dia","5 mm","6 mm","8 mm"
"M3",0.7,0.5,0
"M4",0.7,0.5,1.7
"M5",0.7,0.5,1.7
"M6",0,0.5,1.7
"M8",0,0,1.7

"GN506h3"
"Dia","5 mm","6 mm","8 mm"
"M3",0.6,0.8,0
"M4",0.6,0.8,0.85
"M5",0.6,0.8,0.85
"M6",0,0.8,0.85
"M8",0,0,0.85

"GN506m"
"Dia","5 mm","6 mm","8 mm"
"M3",4,5,0
"M4",4,5,6.8
"M5",4,5,6.8
"M6",0,5,6.8
"M8",0,0,6.8
