"ISO2338range"
"Dia","min_L","max_L"
"0.6 mm","2","6"
"0.8 mm","2","8"
"1 mm","4","10"
"1.2 mm","4","12"
"1.5 mm","4","16"
"2 mm","6","20"
"2.5 mm","6","24"
"3 mm","8","30"
"4 mm","8","40"
"5 mm","10","50"
"6 mm","12","60"
"8 mm","14","80"
"10 mm","18","95"
"12 mm","22","140"
"16 mm","26","180"
"20 mm","35","200"
"25 mm","50","200"
"30 mm","60","200"
"40 mm","80","200"
"50 mm","95","200"
