"PEMPressNutdef"
 "Dia","C","E","T","d"
"M2",4.2,6.35,1.5,1.6
"M2.5",4.2,6.35,1.5,2.05
"M3",4.2,6.35,1.5,2.5
"M3.5",4.73,7.11,1.5,2.9
"M4",5.38,7.87,2.0,3.3
"M5",6.33,8.64,2.0,4.2
"M6",8.73,11.18,4.08,5.0
"M8",10.47,12.7,5.47,6.8
"M10",13.97,17.35,7.48,8.5
"M12",16.95,20.57,8.5,10.2

"PEMPressNuttcodes"
"Dia","00","0","1","2"
"M2",0,0.77,0.97,1.38
"M2.5",0,0.77,0.97,1.38
"M3",0,0.77,0.97,1.38
"M3.5",0,0.77,0.97,1.38
"M4",0,0.77,0.97,1.38
"M5",0,0.77,0.97,1.38
"M6",0.89,1.15,1.38,2.21
"M8",0,0,1.38,2.21
"M10",0,0,2.21,3.05
"M12",0,0,3.05,0

"PEMStandoffdef"
"Dia","B","C","H","d"
"M3",3.2,4.2,4.8,2.5,3,18
"3.5M3",3.2,5.39,6.4,2.5,3,25
"M3.5",3.9,5.39,6.4,2.9,3,25
"M4",4.8,7.12,7.9,3.3,3,25
"M5",5.36,7.12,7.9,4.2,3,25

"PEMStandofflength"
"Nominal","BlindLen"
"3",0
"4",0
"6",0
"8",0
"10",4
"12",4
"14",4
"16",8
"18",8
"20",8
"22",11
"25",11

"PEMStandoffrange"
"Dia","Min_L","Max_L"
"M3","3","18"
"3.5M3","3","25"
"M3.5","3","25"
"M4","3","25"
"M5","3","25"

"PEMStuddef"
"Dia","H","S","d"
"M2.5",4.1,1.95,2.05
"M3",4.6,2.1,2.5
"M3.5",5.3,2.25,2.9
"M4",5.9,2.4,3.3
"M5",6.5,2.7,4.2
"M6",8.2,3.0,5.0
"M8",9.6,3.7,6.75

"PEMStudrange"
"Dia","Min_L","Max_L"
"all","6","8","10","12","15","18","20","25","30","35"
"M2.5","6","18"
"M3","6","25"
"M3.5","6","30"
"M4","6","35"
"M5","8","35"
"M6","10","35"
"M8","12","35"
