"SAEJ483a2def"
"Dia.","TPI","F","A","H","Q","U"
"#6",32,0.3125,0.3,0.42,0.17,0.19
"#8",32,0.3125,0.3,0.42,0.17,0.19
"#10",24,0.375,0.36,0.52,0.2,0.25
"#12",24,0.375,0.36,0.52,0.2,0.28
"1/4in",20,0.4375,0.41,0.59,0.23,0.31
"5/16in",18,0.5,0.47,0.69,0.28,0.38
"3/8in",16,0.5625,0.53,0.78,0.31,0.47
"7/16in",14,0.625,0.59,0.88,0.34,0.53
"1/2in",13,0.75,0.72,1.03,0.42,0.62
"9/16in",12,0.875,0.84,1.19,0.48,0.69
"5/8in",11,0.9375,0.91,1.28,0.53,0.78
"3/4in",10,1.0625,1.03,1.45,0.59,0.94
"7/8in",9,1.25,1.22,1.72,0.7,1.09
"1in",8,1.4375,1.41,1.97,0.81,1.25
"1 1/8in",7,1.625,1.59,2.22,0.92,1.41
"1 1/4in",7,1.8125,1.78,2.47,1.03,1.56
