"GOST11860-1def"
"thread","P","dk","h","m","s","t","w"
"M3",0.5,5.0,7.5,2.4,5.5,5.0,2
"M4",0.7,6.5,8,3.2,7,5.5,2
"M5",0.8,7.5,10,4,8,7.5,2
"M6",1,9.5,12,5,10,8,2
"M8",1.25,12.5,15,6.5,13,11,2
"M10",1.5,15,18,8,16,13,2
"M12",1.75,17,22,10,18,16,3
"(M14)",2.5,20,25,11,21,18,4
"M16",2.5,23,28,13,24,21,4
"(M18)",2.5,26,32,15,27,25,5
"M20",2.5,28,34,16,30,26,5
"(M22)",2.5,33,39,18,34,29,5
"M24",3,34,42,19,36,31,6
