"ASMEB18.2.1.8range"
"Dia","Min_L","Max_L"
"1/4in","3/8in","4in"
"5/16in","1/2in","4in"
"3/8in","1/2in","5in"
"7/16in","3/4in","5in"
"1/2in","3/4in","6in"
"5/8in","1in","6in"
"3/4in","1in","6in"
