"ISO8739range"
"Dia","min_L","max_L"
"1.5 mm","8","20"
"2 mm","8","30"
"2.5 mm","10","30"
"3 mm","10","40"
"4 mm","10","60"
"5 mm","14","60"
"6 mm","14","80"
"8 mm","14","100"
"10 mm","14","100"
"12 mm","18","100"
"16 mm","22","100"
"20 mm","26","100"
"25 mm","26","100"
