"ISO14583def"
"Dia","P","a_max","b_min","d_a_max","dk","k","r_min","rf","x_max","tt","t","A_ref"
"M2",0.4,0.8,25,2.6,4,1.6,0.1,3.2,1,"T6",0.7,1.75
"M2.5",0.45,0.9,25,3.1,5,2.1,0.1,4,1.1,"T8",0.975,2.4
"M3",0.5,1,25,3.6,5.6,2.4,0.1,5,1.25,"T10",1.14,2.8
"(M3.5)",0.6,1.2,38,4.1,7,2.6,0.1,6,1.5,"T15",1.2,3.35
"M4",0.7,1.4,38,4.7,8,3.1,0.2,6.5,1.75,"T20",1.465,3.95
"M5",0.8,1.6,38,5.7,9.5,3.7,0.2,8,2,"T25",1.715,4.5
"M6",1,2,38,6.8,12,4.6,0.25,10,2.5,"T30",2.22,5.6
"M8",1.25,2.5,38,9.2,16,6,0.4,13,3.2,"T45",2.985,7.95
"M10",1.5,3,38,11.2,20,7.5,0.4,16,3.8,"T50",3.82,8.95
