"ISO7048def"
"Dia","P","a","b","dk","dk_mean","da","k","r","x","cT","mH","mZ"
"M2.5",0.45,0.9,25.0,4.5,4.4,3.1,1.8,0.1,1.1,"1",2.7,2.4
"M3",0.5,1.0,25.0,5.5,5.4,3.6,2.0,0.1,1.25,"2",3.5,3.5
"(M3.5)",0.6,1.2,38.0,6.0,5.9,4.1,2.4,0.1,1.5,"2",3.8,3.7
"M4",0.7,1.4,38.0,7.0,6.9,4.7,2.6,0.2,1.75,"2",4.1,4.0
"M5",0.8,1.6,38.0,8.5,8.4,5.7,3.3,0.2,2.0,"2",4.8,4.6
"M6",1.0,2.0,38.0,10.0,9.9,6.8,3.9,0.25,2.5,"3",6.2,6.1
"M8",1.25,2.5,38.0,13.0,12.85,9.2,5.0,0.4,3.2,"3",7.7,7.5
