"ISO7436def"
"Dia","dz_min","dz_max","n_nom","n_min","n_max","t_min","t_max"
"M1.6",0.55,0.8,0.25,0.31,0.45,0.56,0.74
"M2",0.75,1,0.25,0.31,0.45,0.64,0.84
"M2.5",0.95,1.2,0.4,0.46,0.6,0.72,0.95
"M3",1.15,1.4,0.4,0.46,0.6,0.8,1.05
"M3.5",1.45,1.7,0.5,0.56,0.7,0.96,1.21
"M4",1.75,2,0.6,0.66,0.8,1.12,1.42
"M5",2.25,2.5,0.8,0.86,1,1.28,1.63
"M6",2.75,3,1,1.06,1.2,1.6,2
"M8",4.7,5,1.2,1.26,1.51,2,2.5
"M10",5.7,6,1.6,1.66,1.91,2.4,3
"M12",7.7,8,2,2.06,2.31,2.8,3.6

"ISO7436range"
"Dia","Min_L","Max_L"
"M1.6","2","8"
"M2","2.5","10"
"M2.5","3","12"
"M3","3","16"
"M3.5","4","20"
"M4","4","20"
"M5","5","25"
"M6","6","30"
"M8","8","40"
"M10","10","50"
"M12","12","60"
