"ASMEB18.6.3.1Arange"
"Dia","Min_L","Max_L"
"#0","1/16in","1 1/2in"
"#1","1/16in","1 1/2in"
"#2","1/16in","2 1/2in"
"#3","1/8in","2 1/2in"
"#4","1/8in","4in"
"#5","3/16in","4in"
"#6","1/8in","4in"
"#8","1/8in","5in"
"#10","3/16in","8in"
"#12","1/4in","8in"
"1/4in","3/8in","10in"
"5/16in","1/2in","10in"
"3/8in","1/2in","12in"
"7/16in","3/4in","12in"
"1/2in","3/4in","12in"
"9/16in","3/4in","12in"
"5/8in","3/4in","14in"
"3/4in","1in","14in"
