"ISO8674def"
"Dia","P","c","damax","dw","e","m","mw","s_nom"
"M8x1",1.0,0.3,8.75,11.63,14.38,7.5,5.71,13.0
"M10x1",1.0,0.3,10.8,14.63,17.77,9.3,7.15,16.0
"M10x1.25",1.25,0.3,10.8,14.63,17.77,9.3,7.15,16.0
"M12x1.5",1.5,0.3,13.0,16.63,20.3,12.0,9.62,18.0
"M12x1.25",1.25,0.3,13.0,16.63,20.3,12.0,9.62,18.0
"(M14x1.5)",1.5,0.3,15.1,19.64,23.36,14.1,10.72,21.0
"M16x1.5",1.5,0.4,17.3,22.49,26.75,16.4,12.56,24.0
"M18x1.5",1.5,0.4,19.5,24.85,29.56,17.6,13.52,27.0
"M20x1.5",1.5,0.4,21.6,27.7,32.95,20.3,15.2,30.0
"(M20x2)",2.0,0.4,21.6,27.7,32.95,20.3,15.2,30.0
"(M22x1.5)",1.5,0.4,23.7,31.35,37.29,21.8,16.4,34.0
"M24x2",2.0,0.4,25.9,33.25,39.5,23.9,18.08,36.0
"(M27x2)",2.0,0.4,29.1,38.0,45.2,26.7,20.32,41.0
"M30x2",2.0,0.4,32.4,42.75,50.85,28.6,21.85,46.0
"(M33x2)",2.0,0.4,35.6,46.55,55.37,32.5,24.72,50.0
"M36x3",3.0,0.4,38.9,51.11,60.79,34.7,26.48,55.0
