"WN1451def"
"WN1452def"
"WN1453def"
"WN1423def"
"WN1446def"
"WN1447def"
"Dia","P","d2"
"K30",1.34,1.66
"K35",1.57,1.91
"K40",1.79,2.17
"K50",2.24,2.68
"K60",2.69,3.19
"K70",3.14,3.7
"K80",3.59,4.21
"K100",4.49,5.23

"WN1411Adef"
"WN1412Adef"
"WN1413Adef"
"Dia","P","d2"
"K30",1.34,1.66
"K35",1.57,1.91
"K40",1.79,2.17
"K50",2.24,2.68
"K60",2.69,3.19
"K70",3.14,3.7

"WN1451length"
"WN1452length"
"WN1453length"
"WN1423length"
"WN1411Alength"
"WN1412Alength"
"WN1413Alength"
"WN1446length"
"WN1447length"
"Nominal","Min","Max"
"3",2.7,3.3
"3.5",3.12,3.88
"4",3.72,4.38
"4.5",4.12,4.88
"5",4.72,5.38
"6",5.72,6.38
"7",6.55,7.45
"8",7.55,8.45
"10",9.55,10.45
"12",11.45,12.55
"14",13.45,14.55
"16",15.45,16.55
"18",17.45,18.55
"20",19.35,20.65
"22",21.35,22.65
"25",24.35,25.65
"30",29.35,30.65
"35",34.2,35.8
"40",39.2,40.8
"50",49.2,50.8
"60",59.05,60.95
"70",69.05,70.95
"80",79.05,80.95
"90",78.9,91.1
"100",98.9,101.1

"WN1451range"
"WN1452range"
"WN1453range"
"WN1423range"
"WN1411Arange"
"WN1412Arange"
"WN1413Arange"
"WN1446range"
"WN1447range"
"Dia","Min_L","Max_L"
"K10","3","10"
"K12","3","12"
"K14","3","14"
"K16","3","18"
"K18","4","20"
"K20","4","20"
"K22","4.5","25"
"K25","5","30"
"K30","6","30"
"K35","7","35"
"K40","8","40"
"K50","8","50"
"K60","12","60"
"K70","14","70"
"K80","16","80"
"K100","20","100"

"WN1451head"
"Dia","D","K","DriveSize","t_mean","S"
"K30",6.0,2.1,"T10",1.15,0.6
"K35",7.0,2.4,"T10",1.25,0.7
"K40",8.0,2.6,"T20",1.5,0.8
"K50",10.0,3.3,"T20",1.6,1.0
"K60",12.0,3.6,"T25",1.8,1.2
"K70",14.0,4.2,"T30",2.2,1.4
"K80",16.0,4.8,"T40",2.95,1.6
"K100",20.0,5.5,"T40",2.95,2.0

"WN1452head"
"Dia","D","K","DriveSize","t_mean"
"K30",5.6,2.1,"T10",1.15
"K35",6.9,2.3,"T10",1.25
"K40",7.5,2.6,"T20",1.5
"K50",8.2,2.9,"T20",1.6
"K60",10.8,3.8,"T25",1.8
"K70",12.5,4.4,"T30",2.2
"K80",14.0,5.0,"T40",2.65
"K100",16.0,6.0,"T40",2.95

"WN1453head"
"Dia","D","c","f","DriveSize","t_mean"
"K30",5.6,0.55,0.75,"T10",1.15
"K35",6.5,0.55,0.9,"T15",1.25
"K40",7.5,0.65,1.0,"T20",1.6
"K50",9.2,0.75,1.25,"T25",1.8
"K60",11.0,0.85,1.0,"T30",2.2
"K70",12.5,0.85,1.8,"T40",2.95
"K80",14.5,0.9,2.0,"T40",2.95
"K100",14.5,0.9,2.0,"T40",2.95

"WN1423head"
"Dia","D","c","DriveSize","t_mean"
"K30",5.5,0.55,"T10",1.15
"K35",7.3,0.65,"T15",1.25
"K40",8.4,0.70,"T20",1.6
"K50",9.3,0.75,"T25",1.8
"K60",11.3,0.85,"T30",2.2
"K70",13.6,0.90,"T40",2.95
"K80",15.8,0.95,"T40",2.95
"K100",18.3,1.10,"T40",2.95

"WN1411head"
"Dia","D","K","S","hcrw","crs"
"K30",6.0,2.1,0.6,2.9,"1"
"K35",7.0,2.4,0.7,3.5,"2"
"K40",8.0,2.5,0.8,4.2,"2"
"K50",10.0,3.2,1.0,4.8,"2"
"K60",12.0,4.0,1.2,6.4,"3"
"K70",14.0,4.6,1.4,7.0,"3"

"WN1412head"
"Dia","D","K","hcrw","crs"
"K30",5.3,2.0,2.9,"1"
"K35",6.1,2.5,4.0,"2"
"K40",7.0,2.7,4.3,"2"
"K50",8.8,3.4,4.9,"2"
"K60",10.5,4.0,6.5,"3"
"K70",12.3,4.5,7.1,"3"

"WN1413head"
"Dia","D","c","hcrw","crs"
"K30",5.5,0.55,2.7,"1"
"K35",7.3,0.65,3.9,"2"
"K40",8.4,0.70,4.2,"2"
"K50",9.3,0.75,4.6,"2"
"K60",11.3,0.85,5.2,"2"
"K70",13.6,0.90,6.9,"3"

"WN1446head"
"Dia","AF","K"
"K30",5.0,1.5
"K35",5.5,2.3
"K40",7.0,2.3
"K50",8.0,3.0
"K60",10.0,3.5
"K70",10.0,4.8
"K80",13.0,5.3
"K100",13.0,5.8

"WN1447head"
"Dia","AF","K","D","S"
"K30",5.0,2.3,6.5,0.6
"K35",5.5,2.8,7.0,0.7
"K40",5.5,2.8,8.0,0.8
"K50",7.0,3.5,10.0,0.8
"K60",8.0,4.2,12.0,1.0
"K70",8.0,5.0,14.0,1.2
"K80",10.0,6.0,16.0,1.2
"K100",13.0,7.0,18.0,1.5

