"DIN1160-Adef"
"Size","d_1","l","d_2_min","d2_max"
"25x25",2.5,25,7,8
"28x35",2.8,35,8,9

"DIN1160-Bdef"
"Size","d_1","l","d_3_min","d3_max"
"20x20",2.5,20,7.5,8
"25x25",2.5,25,9,10
"28x25",2.5,25,10,11
"28x35",2.8,30,10,11
"28x35",2.8,35,10,11
"28x35",2.8,40,10,11
