"DIN6912range"
"Dia","Min_L","Max_L"
"M4","10","50"
"M5","10","60"
"M6","10","70"
"M8","12","80"
"M10","16","90"
"M12","16","100"
"(M14)","20","120"
"M16","20","140"
"(M18)","25","150"
"M20","30","180"
"(M22)","40","200"
"M24","60","200"
"(M27)","70","200"
"M30","70","200"
"(M33)","80","200"
"M36","90","200"
