"DIN928def"
"Dia","P","b","d2","d4","h1","h2","m","s"
"M4",0.7,0.8,5,6.4,0.6,0.85,3.5,7
"M5",0.8,1,6,8.2,0.8,1.05,4.2,9
"M6",1,1.2,7.5,9.1,0.8,1.25,5,10
"M8",1.25,1.5,10,12.8,1,1.55,6.5,14
"M10",1.5,1.8,12.5,15.6,1.2,1.725,8,17
"M12",1.75,2,13.5,17.4,1.4,2.375,9.5,19
"(M14)",2,2.5,16.8,20.4,1.4,2.475,11.4,22
"(M16)",2,2.5,18.8,22.4,1.6,3,13,24
