"ASMEB18.6.1.3extra"
"Dia","cT","mH"
"#0","0",0.062
"#1","0",0.07
"#2","1",0.096
"#3","1",0.1
"#4","1",0.122
"#5","2",0.148
"#6","2",0.168
"#8","2",0.182
"#10","2",0.198
"#12","3",0.262
"#14","3",0.283
"#16","3",0.303
"#18","4",0.365
"#20","4",0.378
"#24","4",0.393
